#NET=AH,STA=ANQ,MINCC=0.80,XYFILE=AH.ANQ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|ANQ|22|5.14|10.98|4.33|4.86|2007-08-08T17:04:00Z|2007-10-23T19:56:00Z
AH|ANQ|1|-1.38|NA|-1.38|0.00|2007-10-24T21:02:00Z|2007-10-24T21:02:00Z
AH|ANQ|35|3.33|8.28|4.08|6.60|2007-10-25T13:50:00Z|2008-05-31T04:37:00Z
AH|ANQ|1|5.00|NA|5.00|0.00|2008-06-03T16:20:00Z|2008-06-03T16:20:00Z
AH|ANQ|231|-3.59|5.17|-3.10|4.18|2008-06-22T23:56:00Z|2012-11-19T09:44:00Z
AH|ANQ|45|0.90|4.11|0.54|3.05|2012-12-07T18:19:00Z|2013-09-01T11:52:00Z
AH|ANQ||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=BAS,MINCC=0.80,XYFILE=AH.BAS.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|BAS|29|-32.33|18.51|-40.07|9.76|2007-08-08T17:04:00Z|2008-03-03T09:31:00Z
AH|BAS|130|8.46|10.14|10.23|4.50|2008-03-11T14:37:00Z|2010-04-11T09:40:00Z
AH|BAS|11|0.25|63.17|-15.70|30.96|2010-04-30T23:11:00Z|2011-01-13T16:16:00Z
AH|BAS|52|177.49|22.82|174.15|13.14|2011-01-18T20:23:00Z|2012-09-08T10:51:00Z
AH|BAS|5|169.50|106.83|222.56|21.38|2012-10-08T11:43:00Z|2013-01-05T08:58:00Z
AH|BAS|26|-3.55|11.79|-1.04|3.53|2013-02-14T13:13:00Z|2013-09-01T11:52:00Z
AH|BAS||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=BEB,MINCC=0.80,XYFILE=AH.BEB.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|BEB|10|-32.31|15.75|-31.86|5.73|2007-08-08T17:04:00Z|2007-09-29T05:37:00Z
AH|BEB|113|-4.82|20.58|-7.31|8.67|2007-10-02T03:43:00Z|2011-01-13T16:16:00Z
AH|BEB|36|174.58|31.71|167.84|19.27|2011-01-18T20:23:00Z|2012-08-18T09:41:00Z
AH|BEB|1|207.55|NA|207.55|0.00|2012-08-18T15:31:00Z|2012-08-18T15:31:00Z
AH|BEB|14|172.76|60.60|175.31|28.23|2012-08-19T22:41:00Z|2013-01-05T08:58:00Z
AH|BEB|38|-0.83|10.77|-0.81|5.73|2013-02-14T13:13:00Z|2013-09-01T11:52:00Z
AH|BEB||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=BZY,MINCC=0.80,XYFILE=AH.BZY.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|BZY|52|-1.26|8.45|-2.31|4.05|2007-08-01T17:08:00Z|2008-08-30T06:54:00Z
AH|BZY|1|-5.92|NA|-5.92|0.00|2008-09-01T04:00:00Z|2008-09-01T04:00:00Z
AH|BZY|16|-8.10|9.47|-9.56|8.87|2008-09-06T05:47:00Z|2009-04-18T19:17:00Z
AH|BZY||||||2009-04-18T19:17:00Z|NULL
#NET=AH,STA=CHZ,MINCC=0.80,XYFILE=AH.CHZ.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|CHZ|3|-27.15|42.23|-51.19|1.01|2007-08-08T17:04:00Z|2007-08-15T20:22:00Z
AH|CHZ|89|-9.83|21.28|-8.98|7.34|2007-09-12T11:10:00Z|2011-01-09T10:03:00Z
AH|CHZ|2|-122.14|79.80|-122.14|83.66|2011-01-13T16:16:00Z|2011-01-18T20:23:00Z
AH|CHZ|1|-185.75|NA|-185.75|0.00|2011-02-21T10:57:00Z|2011-02-21T10:57:00Z
AH|CHZ|47|-166.06|35.65|-178.84|17.66|2011-04-23T04:16:00Z|2013-01-05T08:58:00Z
AH|CHZ|35|-2.23|11.02|-0.83|5.14|2013-02-14T13:13:00Z|2013-09-01T11:52:00Z
AH|CHZ||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=DYN,MINCC=0.80,XYFILE=AH.DYN.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|DYN|2|34.33|43.73|34.33|45.85|2007-08-15T20:22:00Z|2007-08-26T12:37:00Z
AH|DYN|101|66.71|6.26|66.86|3.83|2007-08-27T17:11:00Z|2008-11-03T19:21:00Z
AH|DYN|1|66.44|NA|66.44|0.00|2008-11-04T18:35:00Z|2008-11-04T18:35:00Z
AH|DYN|148|65.59|6.66|66.00|3.39|2008-11-06T09:11:00Z|2011-04-22T17:14:00Z
AH|DYN|162|4.93|4.44|5.22|3.21|2011-04-26T06:39:00Z|2013-08-12T00:53:00Z
AH|DYN|4|-6.67|2.82|-5.80|1.33|2013-08-12T04:16:00Z|2013-09-01T11:52:00Z
AH|DYN||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=FZL,MINCC=0.80,XYFILE=AH.FZL.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|FZL|3|-39.87|38.49|-60.75|3.94|2007-08-08T17:04:00Z|2007-08-15T20:22:00Z
AH|FZL|18|-20.44|29.88|-30.98|16.20|2007-09-12T11:10:00Z|2008-03-26T20:06:00Z
AH|FZL|3|3.09|87.01|14.27|103.34|2008-04-02T14:36:00Z|2008-04-10T04:29:00Z
AH|FZL|1|3.69|NA|3.69|0.00|2008-04-29T19:10:00Z|2008-04-29T19:10:00Z
AH|FZL|327|3.04|11.37|1.71|7.47|2008-05-02T01:33:00Z|2013-09-01T11:52:00Z
AH|FZL|0|NA|NA|NA|NA|NA|2013-09-01T11:52:00Z
AH|FZL||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=HBE,MINCC=0.80,XYFILE=AH.HBE.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|HBE|64|13.63|5.46|13.70|3.91|2007-08-01T17:08:00Z|2008-06-10T04:13:00Z
AH|HBE|70|10.28|5.96|10.74|5.10|2008-06-22T07:22:00Z|2009-05-24T00:58:00Z
AH|HBE|1|7.91|NA|7.91|0.00|2009-06-02T02:17:00Z|2009-06-02T02:17:00Z
AH|HBE|236|10.92|6.21|11.48|5.14|2009-06-14T03:36:00Z|2012-07-25T11:20:00Z
AH|HBE|32|-29.69|6.46|-30.23|3.68|2012-07-28T20:03:00Z|2013-01-21T22:22:00Z
AH|HBE|58|1.71|5.32|2.10|4.99|2013-01-28T16:38:00Z|2013-09-01T11:52:00Z
AH|HBE||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=HEF,MINCC=0.80,XYFILE=AH.HEF.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|HEF|13|-12.75|7.33|-10.29|3.11|2007-08-08T17:04:00Z|2007-10-16T21:05:00Z
AH|HEF|2|-20.14|9.78|-20.14|10.25|2007-10-23T19:56:00Z|2007-10-24T21:02:00Z
AH|HEF|58|-9.22|5.11|-9.29|3.71|2007-10-31T13:44:00Z|2010-02-01T22:28:00Z
AH|HEF|174|-2.46|5.67|-1.93|3.84|2010-02-13T02:34:00Z|2013-08-12T04:16:00Z
AH|HEF|1|46.45|NA|46.45|0.00|2013-08-30T16:25:00Z|2013-08-30T16:25:00Z
AH|HEF|0|NA|NA|NA|NA|NA|2013-08-30T16:25:00Z
AH|HEF||||||2013-08-30T16:25:00Z|NULL
#NET=AH,STA=HNA,MINCC=0.80,XYFILE=AH.HNA.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|HNA|14|-32.33|20.84|-37.39|5.81|2007-08-08T17:04:00Z|2007-10-25T13:50:00Z
AH|HNA|5|-2.65|22.35|6.98|2.48|2007-10-31T13:44:00Z|2008-01-04T07:29:00Z
AH|HNA|5|-17.44|21.01|-22.01|16.01|2008-01-22T17:14:00Z|2008-03-03T09:31:00Z
AH|HNA|154|1.68|8.58|2.48|4.73|2008-03-22T21:24:00Z|2010-06-26T09:50:00Z
AH|HNA|1|5.56|NA|5.56|0.00|2010-07-18T05:56:00Z|2010-07-18T05:56:00Z
AH|HNA|203|1.69|6.57|1.85|5.97|2010-07-18T19:48:00Z|2013-09-01T11:52:00Z
AH|HNA||||||2013-09-01T11:52:00Z|NULL
#NET=AH,STA=HSH,MINCC=0.80,XYFILE=AH.HSH.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|HSH|3|-108.74|92.17|-55.59|0.18|2007-08-08T17:04:00Z|2007-09-12T11:10:00Z
AH|HSH|108|-183.73|12.04|-180.53|5.63|2007-09-12T23:49:00Z|2010-05-27T17:14:00Z
AH|HSH|15|-131.02|63.16|-143.27|23.47|2010-06-26T05:30:00Z|2011-01-17T19:20:00Z
AH|HSH|3|50.66|71.14|91.01|2.13|2011-02-06T11:21:00Z|2011-06-24T03:09:00Z
AH|HSH|67|39.71|5.98|39.93|4.42|2011-07-31T23:38:00Z|2013-04-14T01:32:00Z
AH|HSH|19|-0.82|4.44|-0.49|5.52|2013-04-16T10:44:00Z|2013-08-12T04:16:00Z
AH|HSH||||||2013-08-12T04:16:00Z|NULL
#NET=AH,STA=HUS,MINCC=0.80,XYFILE=AH.HUS.XY
#NET|STA|NO.EVENT|MEAN|STD|MEDIAN|MAD|STARTTIME|ENDTIME
AH|HUS|59|-4.29|4.56|-4.26|2.56|2007-08-01T17:08:00Z|2008-07-06T01:00:00Z
AH|HUS|129|2.89|5.93|2.20|3.66|2008-07-06T09:08:00Z|2010-08-16T03:30:00Z
AH|HUS|1|1.75|NA|1.75|0.00|2010-08-20T17:56:00Z|2010-08-20T17:56:00Z
AH|HUS|122|1.24|5.54|1.96|3.15|2010-08-21T05:42:00Z|2013-03-01T12:53:00Z
AH|HUS|1|-1.20|NA|-1.20|0.00|2013-03-24T04:18:00Z|2013-03-24T04:18:00Z
